Secteur principal,Secteur d'activité ,Secteur d'activité connexe,Sous-secteur,Catégorie de métier,Code NAF,Qualification,Expositions,Risques,Examens utiles
,,Réparation - Mécanique - Maintenance / Sécurité - Défense,Aviation,Mécanicien avionique de l'armée de l'air,,,,,
,,,Technicien,Mécanicien d'engins de chantier,,,,,
,,Réparation - Mécanique - Maintenance,Technicien,Mécanicien de maintenance ferroviaire,,,,,
,,Réparation - Mécanique - Maintenance,Technicien,Mécanicien de maintenance aéronautique,,,,,
,,Réparation - Mécanique - Maintenance,Technicien,Mécanicien de marine,,,,,
,,Réparation - Mécanique - Maintenance / Agriculture,Technicien,Mécanicien en machinisme agricole,,,,,
,,Réparation - Mécanique - Maintenance,,Monteur en pneumatiques,,,,,
,,,,Planificateur de production,,,,,
,,,Ingénierie,Ingénieur aéronautique et aérospatial ,,,,,
,,Bâtiment - Travaux Publics - Matériaux,Construction navale,Charpentier de marine,,,,,
,,Bâtiment - Travaux Publics - Matériaux,Construction navale,Peintre en construction navale,,,,,
,,Réparation - Mécanique - Maintenance,Construction automobile,Carrossier,,,,,
,,,,Concepteur d'emballages,,,,,
Secteur tertiaire,Animaux,Tourisme - Sport - Loisirs - Animation,,Accompagnateur de tourisme équestre,,Hôte d'accueil,,,
,,,,Moniteur d'équitation,,Employé,,,
,,,Production,Accouveur,,Employé polyvalent,,,
,,Sciences,Production,Animalier de laboratoire,,Secrétariat,,,
,,,Production,Apiculteur,,Assistant,,,
,,Agriculture,Production,Chef d'exploitation laitière,,Consultant,,,
,,Agriculture,Production,Chef d'exploitation laitière,,Représentant,,,
,,Agriculture,Production,Chef d'exploitation laitière,,Commercial,,,
,,,Production,Eleveur de chiens,,Technicien,,,
,,,Production,Eleveur de chevaux,,,,,
,,,Production,Inséminateur,,,,,
,,,Commerce,Taxidermiste,,,,,
,,Commerce,Commerce,Vendeur en animalerie,,,,,
,,,Soins,Auxilliaire vétérinaire,,,,,
,,,Soins,Comportementaliste,,,,,
,,,Soins,Educateur de chiens guide d'aveugle,,,,,
,,,Soins,Educateur canin,,,,,
,,,Soins,Maître chien,,,,,
,,Sécurité - Défense,,Maître-chien / Agent cynophile de sécurité,,,,,
,,,Soins,Maréchal-ferrant,,,,,
,,,Soins,Pelefrenier,,,,,
,,,Soins,Soigneur de chevaux,,,,,
,,,Soins,Toiletteur d'animaux,,,,,
,,,Soins,Vétérinaire,,,,,
,,,Sport,Jockey,,,,,
,,,,Zoologiste,,,,,
,Assurance,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Architecture - Aménagement d'intérieur,,,Agenceur de cuisine,,,,,
,,,,Antiquaire,,,,,
,,,,Architecte,,,,,
,,,,Architecte d'intérieur,,,,,
,,,,Architecte paysagiste,,,,,
,,,,Caneur-rempailleur,,,,,
,,,,Conservateur territorial du patrimoine,,,,,
,,,,Décorateur d'intérieur,,,,,
,,Bâtiment - Travaux Publics  - Matériaux,,Menuisier,,,,,
,,,,Menuisier en sièges,,,,,
