sector,activity_area,Secteur d'activité connexe,label,category,Qualification,Expositions,Risques,Examens utiles
,,,Soins,Vétérinaire,,,,
,,,Sport,Jockey,,,,
,,,,Zoologiste,,,,
,Assurance,,,,,,,
,,,,,,,,
,,,,,,,,
,Architecture - Aménagement d'intérieur,,,Agenceur de cuisine,,,,
,,,,Antiquaire,,,,
,,,,Architecte,,,,
,,,,Architecte d'intérieur,,,,
,,,,Architecte paysagiste,,,,
,,,,Caneur-rempailleur,,,,
,,,,Conservateur territorial du patrimoine,,,,
,,,,Décorateur d'intérieur,,,,
,,Bâtiment - Travaux Publics - Industrie - Matériaux,,Menuisier,,,,
,,,,Menuisier en sièges,,,,
,,Bâtiment - Travaux Publics - Industrie - Matériaux,,Miroitier,,,,
,,,,Peintre en décor,,,,
,,,,Restaurateur conservateur,,,,
,,,,Restaurateur d'œuvres d'art,,,,
,,Bâtiment - Travaux Publics - Industrie - Matériaux,,Solier-moquettiste,,,,
,,Bâtiment - Travaux Publics - Industrie - Matériaux,,Staffeur-ornemaniste,,,,
,,,,Tapissier d'ameublement,,,,
,,,,Tailleur de pierre,,,,
,,Bâtiment - Travaux Publics - Industrie - Matériaux,,Verrier au chalumeau,,,,
,,Bâtiment - Travaux Publics - Industrie - Matériaux,,Vitralliste,,,,
,Artisanat,,Bijoux,Bijoutier-joaillier,,,,
,,,Bijoux,Gemmologue,,,,
,,,Bijoux,Orfèvre,,,,
,,,Métaux,Armurier,,,,
,,,Métaux,Bronzier,,,,
,,,Métaux,Coutellier,,,,
,,,Métaux,Ferronier d'art,,,,
,,,Métaux,Graveur,,,,
,,,Bois,Ebéniste,,,,
,,,Bois,Encadreur,,,,
,,,Confection,Costumier,,,,
,,,Confection,Modéliste,,,,
,,,Confection,Modiste - Chapelier,,,,
,,,Confection,Retoucheur,,,,
,,,Confection,Styliste,,,,
,,,Musique,Facteur d'orgues,,,,
,,,Musique,Facteur de piano,,,,
,,,Musique,Facteur instrumental,,,,
,,,Musique,Luthier,,,,
,,,Musique,Réparateur d'instrument de musique,,,,
,,,,Céramiste à la main,,,,
,,,,Horloger,,,,
,,,,Maroquinier,,,,
,,,,Relieur-doreur,,,,
,,,,Shaper,,,,
,Audit - Conseil - Gestion - Ressources humaines,Banque - Finance - Assurance,,Assistant comptable,,,,
,,,,Assistant de gestion PME / PMI,,,,
